,Name,Address,Website,Contact,Email,VC,VC_Phone,REG,REG_Phone
436,Bhagwant University,Sikar Road  Ajmer      Rajasthan- 305 004 ,http://www.bhagwantuniversity.com,0145-2789406  2789421  9928144442  9928144443 ,unibhagwant@rediffmail.com,Prof. Dr. Virendra Kumar Sharma,0145-2789421,Dr. A.P. Tiwari,0145-2789404
437,Jagannath University,Vill. Rampura  Teshil-Chaksu Jaipur   Rajasthan-  ,http://www.jagannathuniversity.org,0141-3020545  91-141-3020538,NULL,Prof M M Goel,0141-3020502,Mr Tanmay Pattanayak,0141-3020506
438,Jaipur National University,Jaipur-Agra Bypass Near New RTO office  Jaipur Jagatpura   Rajasthan- 302 017 ,http://www.jnujaipur.ac.in,0141-2753377  2754399  9351288101  Fax:2752418  1800-2000-034  1800-2000-043 ,info@jnujaipur.ac.in  seedlingacademy@hotmail.com,Prof. (Dr.) H.N. Verma,"0141-3080601-05,2779016,2754814,2753377",Sh. Vinay Kumar Nayasar,"0141-3080601-05,2779016,2754814,2753377"
439,Jodhpur National University,"Narnadi,Jhanwar Road,Boranada Jodhpur     Rajasthan- 342 001 ",http://www.jodhpurnationaluniversity.com,02931-281551–557   281416  99288 19733,info@jodhpurnationaluniversity.com,Dr. B. P. Gupta,NULL,Sh. P.K. Dey,NULL
440,Jayoti Vidyapeet Women's University,Vedaant Gyan Valley  Village Jharna Mahila-Jobner Line Road Jabner  Jaipur-Ajmer Express Way  Jaipur   Rajasthan- 303007 ,http://www.jvwomensuniv.com,01428-515253  01428- 287427  01428- 287428,info@jvwomensuniv.com,prof. Dr Rouhangiz Hayati Dahiya (President),01428-515253,Ms Meghna Singhal,
441,Mahatma Jyoti Rao Phoole University,SP-2 & 3  Kant Kalwar  RIICO Industrial Area   NH-8 Near Achrol  Jaipur    Rajasthan-  ,http://www.mjrpuniversity.com,0141-2294680  2295101  2295239  01426-283950  283952  283953  0141-2294947,info@mjrpuniversity.com  admission.mjrp@gmail.com ,Dr. C. P. S. Yadav,NULL,Prof. V.C. Sahu,NULL
442,Mewar University,"NH - 79 Gangrar,Chittorgarh     Rajasthan-  ",http://www.mewaruniversity.org,01471-220881  220882  220883  220884  9269629541  ,admission@mewaruniversity.org  career@mewaruniversity.org  ,Prof. Dr V K Vaidya ,NULL,Dr Vankata V P R P,NULL
443,NIMS University,Shobha Nagar  Jaipur-Delhi Highway  (NH-11C)  Jaipur    Rajasthan- 303 121 ,http://www.nimsuniversity.org,9116010405  0141-2605050 ,registrar@nimsuniversity.org,Prof. (Dr.) P.N. Dogra,NULL,Dr. S.K. Garg,NULL
444,Shri Jagdish Prasad Jhabarmal Tibrewala University,"Vidyanagari  Churu Jhunjhunu Road Chudela  Distt.,-Jhunjhunu    Rajasthan- 333 001 ",http://jjtu.ac.in,09820870624  09370512956  01595-513006,jjtu@jjtu.ac.in  enquiry@jjtu.ac.in,Shri Balkrishna Tibrewala,01595-297114,Dr. Madhu Gupta,01595-297114
445,Sir Padmapat Singhania University,Bhatewar  Udiapur     Rajasthan- 313 601 ,http://www.spsu.ac.in,180030026555  02957-226095 (6 Lines  0294-2430102,info@spsu.ac.in,Prof. Pradip Chandra Deka,02957-226093,Ms. Manobi Bose Tagore,0295-2260957-100 (6 lines)
446,Singhania University,Pacheri Bari  Distt. Jhunjhunu      Rajasthan- 333 515 ,http://www.singhaniauniversity.co.in,01593-271299/300/005  01593-271003,info@singhaniauniversity.co.in,D.C. Singhania,NULL,Sh. Anil Yadav,NULL
447,Suresh Gyan Vihar University,Mahal Jagatpura Jaipur    Rajasthan- 302 017 ,http://www.gyanvihar.org,0141-2988411  0141-2988412  0141-2758253-56,registrar@mygyanvihar.com,Prof. (Dr.) Jagdish Rai Luthra,0141-2988411/12,Sh. Madhusudan Sharma  IAS (Retd.),0141-2988411 / 12  Extn: 228
448,Shridhar University ,Pilani-Chirawa Road   Pilani    Rajasthan- 333 031  ,www.shridharuniversity.ac.in,01596-510000  01596-510002,info@shridharuniversity.ac.in,Brig (Dr.) P S Siwach (Retd.),7300060441,Sh. G.K. Saini,7300060443
449,The Institute of Chartered Financial Analysts of India University,(ICFAI)  Sikkim Ranka Road  Lower Sichey Gangtok    Sikkim - 737 101 ,www.iusikkim.edu.in,03592-202065/066   03592-201466,iusikkim@gmail.com  info@iusikkim.edu.in,Dr. Jagannath Patnaik,,Sonam Tshering Venchungpa,
450,Sikkim Manipal University,5TH Mile  Tadong  Gangtok East Sikkim    Sikkim - 737 102 ,http://www.smu.edu.in,03592-270294  246220  246219  246217  246216  03592-231937  246112,info@smu.edu.in,"Lt Gen (Dr) M.D Venkatesh,",03592-231937 ,Prof (Dr) K S Sherpa,03592-231938
451,Vinayaka Missions Sikkim University ,NH 31-A Tadong  Gangtok  East Sikkim    Sikkim - 737 102 ,http://www.vmsuniversity.in,03592-232588  9332367555   03592-232417 ,contactus@vmsuniversity.in,Prof. Dr D D Kaushik,03592-232588,K Sathshivam,03592-232588
452,ICFAI University,Agartala Simna Road PO Kamalghat  West Tripura   Tripura - 799 210 ,https://iutripura.edu.in/,0381-2865752/62  Fax: 0381-2865754,registrar@iutripura.edu.in,Prof. Dr Rajiv Lochan pareek,0381-2865753,Dr. A Ranganath,0381-2865752/62
453,AMITY University ,Uttar Pradesh Gautam Budh Nagar    Uttar Pradesh -  ,http://amity.edu,0120-2445252  NULL,NULL,Prof. (Dr.) Balvinder Sukla,NULL,Dr. B.L. Arya,0120-4392815
454,Jagadgura Rambhadracharya Handicapped University,Chitrakoot  Karwi      Uttar Pradesh - 210 204 ,http://www.jrhu.com,05198-224481  224263  5198-224293,jrhuniversity@yahoo.com,Prof. B. Pandey,NULL,Dr. Laxmikant Pandey,05198-224481
455,Integral University , Dasauli  P.O. Bas-ha Kursi Road Lucknow     Uttar Pradesh - 226 026 ,www.integraluniversity.ac.in,0522-2890730  2890812   0522-2890809,info@integraluniversity.ac.in,Prof. S. W. Akhtar,0522-2890812  2890730 ,Prof.(Dr.) I.A. Khan,0522-2890812  2890730 
456,Mangalayatan University,Extended NCR  33rd Milestone Mathura-Aligarh Highway Beswan Aligarh   Uttar Pradesh - 202 145 ,http://www.mangalayatan.in,"9319222222  9319888888  07351002561    0571-3258592,3258593",info@mangalayatan.edu.in   admissions@mangalayatan.edu.in  admissions@mangalayatan.edu.in ,prof. S. C. Jain,05722-254220,Sh. Manjeet Singh,05722-254220
457,Mohammad Ali Jauhar University,"Jauhar Nagar,Post Sigan Khera Block Saidnagar  Distt. Rampur    Uttar Pradesh - 244 901 ",http://www.jauharuniversity.edu.in,"0595-2328786,87   9897182240   8755334644  8191934266   9760803440",  majur786@gmail.com  ,Dr. Monammad Yunus,NULL,Er. R.A. Qureshi,NULL
458,Teerthanker Mahaveer University,Delhi Road  Moradabad     Uttar Pradesh - 244001 ,http://www.tmu.ac.in,"0591-2360000,2360555  NULL",university@tmu.ac.in   ,Prof. R.K.Mudgal,0592-2360222  0591-2476813,Dr. Vivek Raman  ,0597-2476840
459,Sharda University,Gautam Budh Nagar Grerater Noida    Uttar Pradesh -  ,http://www.sharda.ac.in,91-23239700/3121001  NULL,info@sharda.ac.in,Prof. G. R. C. Reddy,91-120-4622999,Shri Ashok Kumar Singh,0120-2323617
460,Swami Vivekananda Subharti University,Delhi - Haridwar Subhartipuram  NH-58  Delhi-Haridwar  Bypass Road  Meerut    Uttar Pradesh - 250 005 ,www.subharti.org ,0121-3001058  Fax : 0121-2439067  9639010020  9639010035  9639010623,subharti.uni@gmail.com,Dr.N.K.Ahuja,0121-3024227,Mr.D.K.Saxena,0121-2439578
461,Dev Sanakrit Vishwavidyalaya,Gayatrikunj Shantikunj Haridwar   Uttarakhand -  ,http://www.dsvv.ac.in,01334-260723  261367  262094  01334-260723/260866,NULL,Shri. Sharad  Pardhy              ,NULL,Sh. Sandeep Kumar,NULL
462,Himgiri Zee University,Dehradun     Uttarakhand -  ,http://himgirizeeuniversity.edu.in,"91-135-2102676  6542474  91-135-2760465,",hnvus@hnv.edu.in  hnvddn@yahoo.com,Prof. S. C. Bagri,0135-2102676/2110005,Prof. Dilip,0135-2102676
463,The ICFAI University,Central Hope Town  Rajawala Road  Selaqui  Dehradun   Uttarakhand - 248 197 ,http://www.iudehradun.edu.in/,"0135-30003009,3003010,3003016   0135-30003009,",NULL,Dr Pawan  Kr Aggarwal,0135-3003018,Col. Ashish Kumar Dutta ( Retd),0135-3003009
464,University of Petroleum and Energy Studies,Energy Acres  P.O. Bidholi  Via Prem Nagar Dehradun    Uttarakhand - 248 007 ,http://www.upes.ac.in,"0135-2102549/54/61/98  2776201,2770137,2102690",info@upes.ac.in,Dr. Deependra K Jha,0135-2770137  0135-2102549/54/61/98; ,Dr. Veena Dutta,0135-2770137
465,University of Patanjali ,"Mahrish Dayanad Gram,Delhi Haridwar National Highway  Near Bahadrabad Haridwar   Uttarakhand -  ",http://patanjaliuniversity.com,91-1334-242526  NULL,NULL,Acharya Balkrishana,"01334-244107,240008",Dr. Jawahar Thakur,01334-242526
466,Punjab University,Chandigarh  PIN - 160 014.    Chandigarh -  ,http://www.puchd.ac.in,1800-180-2065  2534818  2534866  ,webman@pu.ac.in,Prof. Raj Kumar,2534299  2534297  2534293,Prof. Karamjeet Singh,2534867  2534868
467,National Law University,Sector-14  Dwarka New Delhi-110 078    Delhi- 110 078 ,http://nludelhi.ac.in,011-28034993  28034257  ,info@nludelhi.ac.in,Prof. (Dr.) Ranbir Singh,011-28034253,Prof. (Dr.) Srikrishna Deva Rao,011-28034255
468,Indraprastha Institute of Information Technology,"Near Govind Puri Metro Station  Okhala Industrial Estate,  Okhla Phase III   Delhi- 110020 ",http://www.iiitd.ac.in,91-11-26907400-7404 (5 lines)  91-11-2509 9176,info@iiitd.ac.in  registrar@iiitd.ac.in,Prof Pankaj Jalote,91-11-26907481  26907480,Ashwani Kansal,91-11-26907419
469,Guru Gobind Singh Indraprastha Vishwavidyalaya,Sector_16C  Dwarka New Delhi     Delhi- 110 075 ,http://www.ipu.ac.in,011-23869802  23073798  23865735  011-23865941-42,kka@ipu.edu,Prof. Anil K. Tyagi,011-23900104  23900105  23900107,Dr. B. P. Joshi ,011-25302113  25302114 
470,Delhi Technological University,Shahbad Daultapur  Bawana Road  Delhi    Delhi-  ,http://www.dce.edu,91-11-27871018  011-27871023,mail@dce.edu,Prof. P.B. Sharma,,Dr. A.K. Gupta,
471,Ambedkar University Delhi (AUD),Lothian Road  Kashmere Gate  Delhi    Delhi- 110006 ,http://www.aud.ac.in,011-23864052  23861845  011-25074875-79,info@aud.ac.in,Prof. Shyam B. Menon,011-23864052  23861845,Ms. Sumati Kumar,011-23865089
472,West Bengal State University,Barasat Govt. College  Annexe Building 10knc  Kolkata-700124    West Bengal -  ,http://www.wbsubregistration.org,25241975  25241976  25241978  25241979  ,,Prof Basab Chaudhuri,25420063,Sh Tapan Dutta (Officiating),"2,542,006,825,420,070"
473,Maulana Abul Kalam Azad University of Technology,BF-142  Sector-1   Salt Lake city  Sector-I  Kolkata   West Bengal - 700064 ,http://www.wbut.ac.in,(033) 23210731   ext. 114  (033) 23218771 (D),registrar@wbut.ac.in,Prof. Saikat Maitra,033-23210731 ext 101  23217578(D),Prof. Jaya Bandyopadhyay,033-23210731 ext. 114  23218771(D)
474,West Bengal University of Animal and Fishery Sciences,Kolkatta -700 037.     West Bengal -  ,http://wbuafscl.ac.in,  ,,Prof. C.S. Chakraborti,033-25563450 ,Prof.P.Biswas,033-25563123 
475,Vidya Sagar University,PO. -Vidyasagar University Midnapore-721102  Dist.-paschim Mediripur  (W.B.)   West Bengal -  ,http://www.vidyasagar.ac.in/,276554  276555  276557  276558  276554 ,,Professor Ranjan Chakrabarti,03222 298201,Dr. Jayanta Kishore Nandi,03222- 298220
476,Uttar Banga Krishi Vishwavidyalaya,P.O. Pundibari  Distt.- Cooch Behar  West Bengal-736165    West Bengal -  ,http://www.ubkv.org,  ,,PROF. BISWANATH BANDYOPADHYAY ,03582-270141 / 270013,SOUMALYA GHOSH,03582 270588
477,The West Bengal University of Health Sciences, DD-36  Secotor-1  Salt Lake Kolkata   West Bengal - 700064 ,http//www.wbuhs.ac.in,(033) 23213461 / 23346602  033-23580100,,Prof.(Dr.) Rajendra Pandey,033-23215388,Dr. Banasree Bhadra,033-23213461 (Ext:212)
478,The West Bengal National University of Juridical Science,"Aranya Bhavan  10A LA Blk.,S.L City,Calcutta    West Bengal -  ",http://www.nujs.edu,(+91)33-2335 7379/ 0765/ 2806/ 2809/ 2811/ 2812  ,,Prof. (Dr.) P. Ishwara Bhat,,Dr.Surajit C Mukhopadhyay ,
479,The Bengal Engineering & Science University, Shibpur Howrah    West Bengal -  ,http://www.becs.ac.in,  ,,Prof. Ajoy Kumar Ray,2668 2674,Dr. Biman Bandyopadhyay,91-33-2668-4561
480,Patna University,Patna  PIN - 800 005.    Bihar -  ,http://www.patnauniversity.ac.in,0612-2670531     ,,Prof. Shambhu Nath Singh ,0612-2670352,Dr. Vibhash K. Yadav ,0612-2670531 
481,National Law University,"Kathajodi Campus    Sec – 13,CDA Cuttack   Orissa - 753015 ",http://www.nluo.ac.in,+91 671 – 2338018  ,registrar@nluo.ac.in  ,Prof. (Dr.) Srikrishna Deva Rao,+91 671-2338001,Dr. Dolly Jabbal,+91 671 – 2338018
482,Arybhatta Knowledge University,A.N. Sinha Institute of Social Studies Campus(West) North Gondhi Maidan  Patna   Bihar -  ,http://www.akubiharf.ac.in,0612-2219106  NULL,NULL,Prof. Dr. Shambhu Nath Guha,0612-2219106,Prof.Dr. Amitabh Ghosh,0612-2219106
483,Indian Institute of Technology (Roorkee),Roorkee     Uttarakhand - 247 667 ,www.iitr.ernet.in,NULL  NULL,NULL,Prof. S.C. Saxena,"01332-285500,272342",Retd. A.K. Srivastava,1332-285311
484,National Institute of Technology,Agartala Barjala  Tripura (WEST)    Tripura -  ,http://www.nitagartala.in,"0381-2346630,2346360  NULL",nitaedc@gmail.com,Prof. Probir Kumar Bose,"0381-2346630,2346360",Dr. Debasish Bhattacharya,"0381-2346629,2348512"
485,National Institute of Technology,Raipur Chattisgarh    Chhattisgarh-  ,http://www.gcetraipur.ac.in,NULL  NULL,NULL,Dr(Mrs.) Shashi Krishna Pandey,"0771-2254200,2223969",NULL,NULL
486,Malviya National Institute of Technology,Jaipur J.L.N Marg    Rajasthan- 302017 ,http://www.mnti.ac.in,0141-2529078  0141-2529029,NULL,Prof. P.K.Saxena,"0141-2529087,2529150",Shri. P.S. Dhaka,0141-2529078
487,Motilal Nehru National Institute of Technolgy,Allahabad     Uttar Pradesh - 211 004 ,http://www.mnit.ac.in,NULL  NULL,NULL,Prof Arun B. Samaddar,"0532-22545190,2271400",Shri Saresh Kumar Tiwari,"0532-2277704,22711910"
488,National Insitute of Technology,Calicut  P.O NIT Campus    Kerala - 673601 ,http://www.nitc.ac.in,0495-2286100  NULL,registrar@nitc.ac.in,Dr. E. Gopinathan (Director),"0495-2286100,101",Dr. Abraham T. Mathew,0495-2286106
489,National Institute of Technology,Hamirpur     Himachal Pradesh - 177005 ,http://www.nitham.ac.in,"01972-224390,222308  NULL",director@nitham.ac.in,Dr. R.L.Sharma,01972-222308,Dr. A.S. Singha,01972-224390
490,National Institute of Technology,Kurukshetra     Haryana - 136119 ,http://www.nitkkr.ac.in,"01744-233200,233009  NULL",NULL,Dr. T.K.Garg,"01744-233204,2382",Sh. G.R. Samantaray,01744-233212
491,National Institute of Technology,"N.I.T.  Rourkela,PO: Rourkela  Dist Sundergarh  Odisha    Orissa - 769008 ",http://www.nitrkl.ac.in,"0661-2462002,2462020  NULL",NULL,Prof. Prafulla Chandra Panda Offg,0661-2462001/2472050,Er. Santosh Kumar Upadhyay,"0661-2462021,2476773"
492,National Institute of Technology Karnataka,Surathkal PO Srinivasnagar Mangalore    Karnataka - 575025 ,http://www.nitk.ac.in,0824-2474000/26  NULL,director@nitk.ac.in,Dr. Sandeep Sancheti,0824-2474034,Dr. M.Govinda Raj,0824-2474068
493,National Institute of Technology,Silchar     Assam - 788010 ,http://www.nits.ac.in,03842-224879  NULL,patodlr@nits.ac.in,Prof. P.K.Bose  (Part Time Director),03843-224879,Sri Suchil Kumar,3842-241313
494,Visvesvaraya National  Institute of Technology,South Ambazari Road  Nagpur Nagpur    Maharashtra - 440 010 ,http://www.vnit.ac.in,"0712-223710,2222828,226750  NULL",NULL,Dr. C.S. Moghe(I/C) Director,"0712-2223969,2801363",Dr. B.M.Ganveer,"0712-2226240,2801364"
495,Maulana Azad National Institute of Technology,Bhopal NULL    Madhya Pradesh - 462007 ,NULL,0755-4051000  NULL,info@manit.ac.in,Dr Appu Kuttan K.K,0755-2670900,Smt. Savita Raje,0755-2670783
496,National Institute of Technology,Warangal     Andhra Pradesh- 506004 ,http://www.nitw.ac.in,0870-2459366  NULL,webmaster@nitw.ac.in,Prof. K.Srimannarayana,0870-2459216,Prof. K.Madhu,"0870-2459366,2462010"
497,Sardar Valabh Bhai National Institute  of Technology,Surat NULL    Gujarat - 395007 ,http://www.svnit.ac.in,NULL  NULL,NULL,Dr.S.A Channiwala(I/C),"0261-2227334,2201505",NULL,NULL
498,National Institute of Technology,Jamshedpur     Jharkhand - 831 014 ,http://www.nitjsr.ac.in,NULL  NULL,NULL,Rajnish Srirashtara,0657-2373375,NULL,NULL
499,B.R.Ambedkar National Institute of Technology,G.T. Road Bye Pass Jalandhar  Punjab    Punjab - 144011 ,http://www.nitj.ac.in,"0181-2690301,2690603,2690453  NULL",NULL,Dr. S.B.S. Mishra,0181-2690802,Dr. A.L.Sangal,0181-2690324
500,National Institute of Technology,Tiruchirapally     Tamil Nadu - 620015 ,http://www.nitt.edu,NULL  NULL,NULL,Prof V.Siran(I/C),0431-2500370,NULL,NULL
501,National Institute of Technology,Patna     Bihar - 800005 ,http://www.nitp.ac.in,NULL  NULL,NULL,Dr.U.C. Ray,6122670631,NULL,NULL
502,National Institute of Technology,Srinagar Hazratbal    Jammu and Kashmir - 190006 ,http://www.nit.ac.in,0194-2422032  NULL,NULL,Prof.M.S Mubashshir(I/C),0194-2422032,NULL,0194-2421347
503,National Institute of Technology,Durgapur     West Bengal - 713209 ,http://www.nitdgp.ac.in,NULL  NULL,NULL,Dr. Swapan Bhattacharya,0343-2546397,NULL,NULL
504,Indian Institute of Technology,Amingaon Guwahati    Assam - 781 039 ,http://www.iitg.ac.in,0361-2583000  NULL,admoff@iitg.ernet.in,Prof. Gautam Barua,"0361-2690401,2582005",Dr. B.N.Raychoudhury,0361-2582016-2582020
505,All India Institute of Medical Sciences,Ansari Nagar New Delhi     Delhi- 110 029 ,http://www.aiims.edu,NULL  NULL,NULL,Dr. R.C. Deka,"011-26594800,26594805",V.P. Gupta,011-26594832
506,Indian Institute of Technology,Hauz Khas  New Delhi     Delhi- 110 016 ,http://www.iitd.ac.in,NULL  NULL,NULL,Prof.Surendra Prasad,011-26591701,NULL,NULL
507,Sree Chitra Tirunal Institute for Medical Sciences & Technology,Thiruvananthapuram     Kerala - 695011 ,http://www.sctimst.ac.in,0471-2443152  2550728  0471-2550728,sct@sctimst.ac.in,Dr. K. Radhakrishnan,0417-2443085,Dr. A.V. George,0471-2524150
508,Indian Institute of Technology,Powai Mumbai Maharashtra   Maharashtra - 400 076. ,http://www.iitb.ac.in,NULL  NULL,NULL,Prof.Devang V Khakhar,"022-25723488,25767001",NULL,NULL
509,Dakshina Bharat Hindi Prachar Sabha,PB No.1419 Thyagaraya Nagar  Chennai Tamil Nadu   Tamil Nadu - 600 017 ,http://www.dbhps-chennai.com,044-24341824  044-24348420,info@dbhps-chennai.com,Shri B.Chinnnayan,044-24332094,Prof.Dalip Singh,044-24332094
510,Indian Institute of Technology,Madras Chennai    Tamil Nadu - 600 036 ,http://www.iitm.ac.in,NULL  NULL,NULL,Prof.M.S Ananth,"044-22570694,22578001",NULL,NULL
511,Indian Institute of Technology,Kanpur     Uttar Pradesh - 208 016. ,http://www.iitk.ac.in,02597205/2597211  NULL,doiitk@iitk.ac.in,Prof. Sanjay G. Dhande,02597258/7220,Shri Sanjeev S. Kashalkar,02597290/7808
512,Indian Statistical Institute,"203,Barrack Pore Trunk Rd Kolkatta     West Bengal - 700 035 ",http://www.isical.ac.in,033-25777694  NULL,NULL,Prof. Bimal K. Roy,033-25773084,Prof. D.P. Sinha,033-25776037
513,Post-Graduate Institute of Medical Education & Research,Chandigarh  NULL    Chandigarh - 160 012. ,http://www.pgimer.nic.in,0172-2746018  0172-2744401,pgimer-chd@nic.in,Prof. Vinay Sakhuja,0172-2748363,Prof. Surjit Singh (DD Admn.),0172-2748370
514,National Institute of Pharmeutical Education & Research,Sector 67  Mohali    Punjab - 160 062 ,NULL,0172-2292074  0172-2214682,Prakriti@niper.ac.in,Prof. K.K.Bhutani,0172-2214690,Mr. Rajesh Moza,0172-2292007
515,Indian Institute of Technology Ropar,Nangal Road  Rupnagar     Punjab - 140001 ,http://www.iitrpr.ac.in,01881-227078  NULL,info@iitrpr.ac.in,Prof. M.K.Surappa,01881-223391,Sh. A. Palanivel,01881-227078
516,Indian Institute of Technology,"Gandhi Nagar   (Vishwakarma Govt. Engg. College) Chandkheda,Ahmedabad   Gujarat - 382424 ",NULL,NULL  NULL,NULL,Prof.Sudhir K Jain,"022-25723488,25767001",NULL,NULL
517,Indian Institute of Technology,"Ordinance Factory,Estate Yeddumailaram Hyderabad   Andhra Pradesh- 502205 ",,  ,,Prof.Udai.B.Desai,"044-22570694,222578001",,
518,National Institute of Technology,Manipur     Manipur-  ,NULL,NULL  NULL,NULL,NULL,NULL,NULL,NULL
519,Indian Institute of Technology,Bhubneshwar (Orissa) Smantapuri (Rear Side of Hotel Swosti Plaza)   Orissa - 751013 ,NULL,NULL  NULL,NULL,Prof.Madhusudan Chakraborty,"03222-28200,255386",NULL,NULL
520,Indian Institute of Technology,(Govt. Polytechnic  Patna) Patliputra Colony Patna   Bihar - 800013 ,NULL,NULL  NULL,NULL,Prof.Anil K Bhowmick,0361-2690401,NULL,NULL
521,Alliance University,Chikkahagada Cross  Chandapura- Anekal Main Road  Bangalore    Karnataka - 562106 ,http://www.alliance.edu.in,080 - 4619 9000/4619 9100/4129 9200  FAX-080 - 4619 9099,enquiry@alliance.edu.in,Dr. Anubha Singh,080 - 4619 9000/4619 9100,Mr. Madhu Sudan Mishra,080 - 4619 9000/4619 9100
522,Apeejay Stya University,Sohna-Palwal Road  Sohna  Gurgaon    Haryana - 122 103 ,http://university.apeejay.edu,0124-2013718/721  2013218    NULL,registrar@asu.apeejay.edu,Prof. (Dr.) S. K. Salwan,0214-2013781-721,Mr. Amit Kumar Sinha,0214-2013781-721
523,Azim Premji University,PIXEL ‘B’ BLOCK  PES COLLEGE SOUTH CAMPUS HOSUR MAIN ROAD  ELECTRONICS CITY BENGALURU    Karnataka - 560100 ,http://azimpremjifoundation.org/,  ,,Anurag Behar,,Manoj. P,
524,Baddi University of Emerging Sciences & Technology,Makhnumajra  BADDI  Distt. Solan    Himachal Pradesh -  ,http://baddiuniv.ac.in,01795-247353  247884  247882  247352  ,registrar@baddiuniv.ac.in,Dr Vijay Kumar,01795-247882,Mr. Soumya Kanta Mishra,01795-247884
525,Centurion  University  of Technolgy and Management,Village Alluri Nagar Via-Uppalada  Paralakhemundi NULL   Orissa - 761 211 ,http//www.cutm.ac.in,06815- 223088  Mob: 09437493586  Fax: 06815- 222150,deansoet.pkd@cutm.ac.in,Prof (Dr) Haribandhu Panda,06815-223088,Dr. Anita Patra,06815-222040
526,Chitkara  University,"Chandigarh-Patiala National Highway (NH-64),Jhansala(V),Rajpura Patiala NULL   Punjab - 140 401 ",http://www.chitkara.edu.in,01762-507084  01762-507925,info@chitkara.edu.in,Dr. Madhu Chitkara,01762-507084,Dr. S.C. Sharma,"01762-507084,507925"
527,CMJ University,G S Road  Jorabat Ri-Bhoi District Meghalay   Meghalaya - 793101 ,http://www.cmjumeghalaya.edu.in/,"0361-2897101,2897416  mobile-863854226",info@registrar@cmjumeghalaya.edu.in,Prof S N Goswami,"0361- 2897413,2897101",Dr. Momita Goswami,"0361-2897101,2897413"
528,Dr K N Modi University,Plot-No.INS-1  RIICO Industrial Area ph-II  Post Box No.01  Newai  Distt. Tonk  Rajasthan-304021   Rajasthan-  ,http://www. dknmu.org,"08875010008,15  NULL",info@dknmu.org  deputyregistrar@dknmu.org,Dr. Devendra Pathak,0143-8223472,Dr. Rajeev Verma,0143-8223473
529,G L A University,17 km. Stone  NH#2  Mathura-Delhi Highway  Po-Chaumuhan  Mathura    Uttar Pradesh - 281 406  ,http://www.gla.ac.in,5662-250900  250908/909  8937099911  22  33  Fax - 05662-241687  ,glauniversity@gla.ac.in  admission@gla.ac.in  ,Prof. D.S. Chauhan,,Mr. Ashok Kumar Singh,05662-250906
530,IFTM University,"Lodhipur Rajput ,delhi Road Moradabad-244 102    Uttar Pradesh - 244 102 ",http://iftmuniversity.ac.in,0591-2360817  0591-2360818,info@iftmuniversity.ac.in,Prof.Dr. Mahendra Prasad pandey,0591-2360818,Shri Sanjeev Agarwal,9837065491
531,Invertis University,Invertis Village  Bareily-Lucknow National Highway -24  Bareily  U.P. NULL   Uttar Pradesh -  ,http://www.invertis.org,0581-2460442  2460443  2460454  0581-2460454 ,contact@invertis.org,Prof. Jagdish Rai,0581-2460442 Extn. 155,Sh. Santosh Kumar,
532,Maharishi Markandeshwar University,Kumarhatti  Sultanpur Road Solan  NULL   Himachal Pradesh - 173 229 ,http://mmusolan.org,01792-268267  ,info@mmusolan.org,Prof. Dr. Vipin Saini,01792-268468,Sh. Ajay Singhal,01792-268267
533,Navrachana University,Vasna Bhayli Road Vadodara Gujarat   Gujarat - 391 410 ,http://www.nuv.ac.in,0265-3020100  NULL,nuv@nuv.ac.in,Prof. Gurdev Singh,NULL,Mr. P.K. Chopra,NULL
534,Noida International University,Plot 1  Sector-17 A  Greater Noida  Gautam Budh Nagar   Uttar Pradesh - 203201 ,http://niu.edu.in/,01204862200  NULL,info@niu.edu.in ,Prof. (Dr.) Kum Kum Deewan,0120-4862200,Prof. (Dr.) Jayanand,0120-4862200
535,Pacific Academy of Higher Education  & Research (PAHER),Airport Road  Pratap Nagar Extension Debari  Udaipur NULL   Rajasthan- 313 001 ,NULL,97724-22999  97725-22999  96729-78004  NULL,admission@pahersociety.org,Dr. A. Bhagwan Das Rai,NULL,Sh. Sharad Kothari,NULL
536,dsdsds,dsdsds  wqw wqq   Andhra Pradesh- 112121 ,ugc.ac.in,98999899  8998,rrrrf@gmcin.com,"nknk,",8989,jlijlj,8098098
537,South Asian University,CSR Language Lab Building Old School of Physical Sciences JNU Campus    Delhi- 110067 ,www.southasianuniversit.org,  ,,,,,
538,University College of Medical Sciences,Dilshad Garden     Delhi- 110095 ,www.ucms.ac.in,  ,,,,,
539,Damodaram Sanjivayya National Law University,Palace Layout Pedawaltair  Visakhapatnam   Andhra Pradesh- 530017 ,http://dsnlu.ac.in/,0891-2529952  ,dsnluvsp@gmail.com,Prof. R.G. Babu Bhagavath Kumar,0891-2529952,Prof. Pasala Sudhakar,0891-2502308
540,Jawaharlal Nehru Architecture and Fine Arts University,Mahaveer Marg  Masab Tank  Hyderabad   Telangana- 500028 ,http://jnafau.ac.in,040-64637122  23317006    040-23321226,registrar@jnafau.ac.in,Dr. P. Padmavathi ,,Prof. (Dr.) N. Kavita Daryani Rao ,040-23321226 
541,Ayush and Health Sciences University of Chhattisgarh,G.E. Road   Raipur     Chhattisgarh-  ,http://www.cghealthuniv.com/,  ,,Dr Ashok Kumar Chandrakar,0771-2973001,Dr Rajesh Hishikar,0771-2973002
542,Gujarat Forensic Sciences University,Sector-18/A  Near Police Bhavan  Gandhinagar   Gujarat - 382007 ,,  ,,,,,
